missionId,sourceFile,segmentIndex,segmentType,planet,damage,stlFuelConsumption,radiation
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,11,JUMP,,0.00009085094135322375,1062,
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,12,APPROACH,CG-021a,0.0011405934843507872,1062,2.712609e-21
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,13,LANDING,CG-021a,0.0019989179270935064,1062,2.712609e-21
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,0,DEPARTURE,,0.0000544068814879627,1928,
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,1,JUMP,,0.00008303429293774767,1928,
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,2,CHARGE,,0.000006875000000000038,1928,
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,3,JUMP,,0.00006785250127585074,1928,
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,4,CHARGE,,0.000006875000000000038,1928,
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,5,JUMP,,0.00015584280157092696,1928,
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,6,CHARGE,,0.000006875000000000038,1928,
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,7,JUMP,,0.0001296325897209543,1928,
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,8,CHARGE,,0.000006875000000000038,1928,
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,9,JUMP,,0.00014079687913076712,1928,
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,10,CHARGE,,0.000006875000000000038,1928,
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,11,JUMP,,0.00009085094135322375,1928,
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,12,APPROACH,CG-021a,0.0011405769567040395,1928,2.712609e-21
9fe78391-b3f8-4333-bf19-ddf8aeb26b88,prun_rad_dam_noshield.jsonl,13,LANDING,CG-021a,0.0019989179270935064,1928,2.712609e-21
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,0,DEPARTURE,,0.00005440652949655327,216,
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,1,JUMP,,0.00008303429293774767,216,
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,2,CHARGE,,0.000006875000000000038,216,
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,3,JUMP,,0.00006785250127585074,216,
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,4,CHARGE,,0.000006875000000000038,216,
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,5,JUMP,,0.00015584280157092696,216,
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,6,CHARGE,,0.000006875000000000038,216,
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,7,JUMP,,0.0001296325897209543,216,
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,8,CHARGE,,0.000006875000000000038,216,
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,9,JUMP,,0.00014079687913076712,216,
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,10,CHARGE,,0.000006875000000000038,216,
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,11,JUMP,,0.00009085094135322375,216,
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,12,APPROACH,CG-021b,0.0009259504487028618,216,1.9274205e-21
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,13,LANDING,CG-021b,0.00002140342722117901,216,1.9274205e-21
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,0,DEPARTURE,,0.00005440652754418362,216,
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,1,JUMP,,0.00008303429293774767,216,
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,2,CHARGE,,0.000006875000000000038,216,
f07936c9-ad8f-4e99-a6ab-9ca87c8878dc,prun_rad_dam_noshield.jsonl,3,JUMP,,0.00006785250127585074,216,
