AEM RADIATION MODEL vs CAPTURED TRANSIT DATA
Generated: 2026-07-07T10:44:10.577Z
Aem formula (%/Mkm): rad_noshield=0.0734*AU^-2, rad_shield=0.0224*AU^-2, meteoroid_floor=0.0002 ; *distMkm
UNIT NOTE: Aem outputs PERCENT; segment.damage is a FRACTION. Predicted converted to fraction (÷100) to compare.
distMkm = stlDistance_m/1e9 ; AU = SemiMajorAxis_m/1.496e11 ; density = MeteoroidDensity (systemstars.json)
==================================================================================================================================

FULL PER-ROW TABLE (TRANSIT segments)
----------------------------------------------------------------------------------------------------------------------------------
planet   sys     T shield        AU   distMkm      radFrac   floorFrac     predFrac     observed        resid rad%ofPred
IA-158b  IA-158  M shield     0.336     0.000    1.9899e-8  2.0000e-11    1.9919e-8    0.0000e+0   -1.9919e-8      99.9%
IA-158b  IA-158  M shield     0.336     0.000    1.9899e-8  2.0000e-11    1.9919e-8    0.0000e+0   -1.9919e-8      99.9%
IA-158b  IA-158  M shield     0.336     0.000    1.9899e-8  2.0000e-11    1.9919e-8    0.0000e+0   -1.9919e-8      99.9%
IA-158b  IA-158  M shield     0.336     0.000    1.9899e-8  2.0000e-11    1.9919e-8    0.0000e+0   -1.9919e-8      99.9%
IA-158b  IA-158  M shield     0.336     0.000    1.9899e-8  2.0000e-11    1.9919e-8    0.0000e+0   -1.9919e-8      99.9%
IA-158b  IA-158  M shield     0.336     0.000    1.9899e-8  2.0000e-11    1.9919e-8    0.0000e+0   -1.9919e-8      99.9%
IA-158b  IA-158  M shield     0.336     0.000    1.9899e-8  2.0000e-11    1.9919e-8    0.0000e+0   -1.9919e-8      99.9%
IA-158b  IA-158  M shield     0.336     0.000    1.9899e-8  2.0000e-11    1.9919e-8    0.0000e+0   -1.9919e-8      99.9%
IA-158b  IA-158  M shield     0.336     0.000    1.9899e-8  2.0000e-11    1.9919e-8    0.0000e+0   -1.9919e-8      99.9%
IA-158b  IA-158  M shield     0.336     0.000    1.9899e-8  2.0000e-11    1.9919e-8    0.0000e+0   -1.9919e-8      99.9%
KW-688c  KW-688  K noshield   0.662     0.000    1.6729e-8  2.0000e-11    1.6749e-8    0.0000e+0   -1.6749e-8      99.9%
KW-688c  KW-688  K noshield   0.662     0.000    1.6729e-8  2.0000e-11    1.6749e-8    0.0000e+0   -1.6749e-8      99.9%
KW-688c  KW-688  K noshield   0.662     0.000    1.6729e-8  2.0000e-11    1.6749e-8    0.0000e+0   -1.6749e-8      99.9%
KW-688c  KW-688  K noshield   0.662     0.000    1.6729e-8  2.0000e-11    1.6749e-8    0.0000e+0   -1.6749e-8      99.9%
KW-688c  KW-688  K noshield   0.662     0.000    1.6729e-8  2.0000e-11    1.6749e-8    0.0000e+0   -1.6749e-8      99.9%
KW-688c  KW-688  K noshield   0.662     0.000    1.6729e-8  2.0000e-11    1.6749e-8    0.0000e+0   -1.6749e-8      99.9%
KW-688c  KW-688  K noshield   0.662     0.000    1.6729e-8  2.0000e-11    1.6749e-8    0.0000e+0   -1.6749e-8      99.9%
KW-688c  KW-688  K noshield   0.662     0.000    1.6729e-8  2.0000e-11    1.6749e-8    0.0000e+0   -1.6749e-8      99.9%
KW-688c  KW-688  K noshield   0.662     0.000    1.6729e-8  2.0000e-11    1.6749e-8    0.0000e+0   -1.6749e-8      99.9%
KW-688c  KW-688  K noshield   0.662     0.000    1.6729e-8  2.0000e-11    1.6749e-8    0.0000e+0   -1.6749e-8      99.9%
KW-688c  KW-688  K noshield   0.662     0.000    1.6729e-8  2.0000e-11    1.6749e-8    0.0000e+0   -1.6749e-8      99.9%
KW-688c  KW-688  K noshield   0.662     0.000    1.6729e-8  2.0000e-11    1.6749e-8    0.0000e+0   -1.6749e-8      99.9%
KW-688c  KW-688  K noshield   0.662     0.000    1.6729e-8  2.0000e-11    1.6749e-8    0.0000e+0   -1.6749e-8      99.9%
KW-688c  KW-688  K noshield   0.662     0.000    1.6729e-8  2.0000e-11    1.6749e-8    0.0000e+0   -1.6749e-8      99.9%
KW-688c  KW-688  K noshield   0.662     0.000    1.6729e-8  2.0000e-11    1.6749e-8    0.0000e+0   -1.6749e-8      99.9%
KW-688c  KW-688  K shield     0.662     0.000    5.1052e-9  2.0000e-11    5.1252e-9    0.0000e+0   -5.1252e-9      99.6%
KW-688c  KW-688  K shield     0.662     0.000    5.1052e-9  2.0000e-11    5.1252e-9    0.0000e+0   -5.1252e-9      99.6%
KW-688c  KW-688  K shield     0.662     0.000    5.1052e-9  2.0000e-11    5.1252e-9    0.0000e+0   -5.1252e-9      99.6%
KW-688c  KW-688  K shield     0.662     0.000    5.1052e-9  2.0000e-11    5.1252e-9    0.0000e+0   -5.1252e-9      99.6%
KW-688c  KW-688  K shield     0.662     0.000    5.1052e-9  2.0000e-11    5.1252e-9    0.0000e+0   -5.1252e-9      99.6%
KW-688c  KW-688  K shield     0.662     0.000    5.1052e-9  2.0000e-11    5.1252e-9    0.0000e+0   -5.1252e-9      99.6%
KW-688c  KW-688  K shield     0.662     0.000    5.1052e-9  2.0000e-11    5.1252e-9    0.0000e+0   -5.1252e-9      99.6%
KW-688c  KW-688  K shield     0.662     0.000    5.1052e-9  2.0000e-11    5.1252e-9    0.0000e+0   -5.1252e-9      99.6%
KW-688c  KW-688  K shield     0.662     0.000    5.1052e-9  2.0000e-11    5.1252e-9    0.0000e+0   -5.1252e-9      99.6%
KW-688c  KW-688  K shield     0.662     0.000    5.1052e-9  2.0000e-11    5.1252e-9    0.0000e+0   -5.1252e-9      99.6%
KW-688c  KW-688  K shield     0.662     0.000    5.1052e-9  2.0000e-11    5.1252e-9    0.0000e+0   -5.1252e-9      99.6%
KW-688c  KW-688  K shield     0.662     0.000    5.1052e-9  2.0000e-11    5.1252e-9    0.0000e+0   -5.1252e-9      99.6%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G noshield   0.988     0.000    7.5153e-9  2.0000e-11    7.5353e-9    0.0000e+0   -7.5353e-9      99.7%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
LS-300c  LS-300  G shield     0.988     0.000    2.2935e-9  2.0000e-11    2.3135e-9    0.0000e+0   -2.3135e-9      99.1%
UV-351a  UV-351  G noshield   1.670     0.000    2.6325e-9  2.0000e-11    2.6525e-9    0.0000e+0   -2.6525e-9      99.2%
UV-351a  UV-351  G noshield   1.670     0.000    2.6325e-9  2.0000e-11    2.6525e-9    0.0000e+0   -2.6525e-9      99.2%
